18.216.100.248 - - [12/Mar/2024:10:06:39 +0100] "GET /.well-known/acme-challenge/Y9KWa_PRQrXVuJpKCOFqo4Mo3gfSwlP7KCLF5Hdi7UM HTTP/1.1" 200 310 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
54.184.223.21 - - [12/Mar/2024:10:06:39 +0100] "GET /.well-known/acme-challenge/Y9KWa_PRQrXVuJpKCOFqo4Mo3gfSwlP7KCLF5Hdi7UM HTTP/1.1" 200 310 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
23.178.112.200 - - [12/Mar/2024:10:06:39 +0100] "GET /.well-known/acme-challenge/Y9KWa_PRQrXVuJpKCOFqo4Mo3gfSwlP7KCLF5Hdi7UM HTTP/1.1" 200 310 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
207.154.197.113 - - [12/Mar/2024:10:06:48 +0100] "GET / HTTP/1.1" 200 10945 "-" "-"
207.154.197.113 - - [12/Mar/2024:10:06:48 +0100] "GET / HTTP/1.1" 200 10945 "-" "Mozilla/5.0 (Linux; Android 6.0; HTC One M9 Build/MRA801946) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2195.98 Mobile Safari/537.3"
207.154.197.113 - - [12/Mar/2024:10:06:48 +0100] "GET /server HTTP/1.1" 404 376 "-" "Go-http-client/1.1"
207.154.197.113 - - [12/Mar/2024:10:06:49 +0100] "GET /.vscode/sftp.json HTTP/1.1" 404 376 "-" "Go-http-client/1.1"
207.154.197.113 - - [12/Mar/2024:10:06:49 +0100] "GET /about HTTP/1.1" 404 376 "-" "Go-http-client/1.1"
207.154.197.113 - - [12/Mar/2024:10:06:49 +0100] "GET /debug/default/view?panel=config HTTP/1.1" 404 376 "-" "Go-http-client/1.1"
207.154.197.113 - - [12/Mar/2024:10:06:49 +0100] "GET /v2/_catalog HTTP/1.1" 404 376 "-" "Go-http-client/1.1"
207.154.197.113 - - [12/Mar/2024:10:06:49 +0100] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1" 404 376 "-" "Go-http-client/1.1"
207.154.197.113 - - [12/Mar/2024:10:06:49 +0100] "GET /server-status HTTP/1.1" 403 379 "-" "Go-http-client/1.1"
207.154.197.113 - - [12/Mar/2024:10:06:49 +0100] "GET /login.action HTTP/1.1" 404 376 "-" "Go-http-client/1.1"
207.154.197.113 - - [12/Mar/2024:10:06:49 +0100] "GET /_all_dbs HTTP/1.1" 404 376 "-" "Mozilla/5.0 (l9scan/2.0.034323e27353e2532323e2033313; +https://leakix.net)"
207.154.197.113 - - [12/Mar/2024:10:06:49 +0100] "GET /.DS_Store HTTP/1.1" 404 376 "-" "Go-http-client/1.1"
207.154.197.113 - - [12/Mar/2024:10:06:49 +0100] "GET /.env HTTP/1.1" 404 376 "-" "Go-http-client/1.1"
207.154.197.113 - - [12/Mar/2024:10:06:49 +0100] "GET /.git/config HTTP/1.1" 404 376 "-" "Go-http-client/1.1"
207.154.197.113 - - [12/Mar/2024:10:06:49 +0100] "GET /s/034323e27353e2532323e2033313/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.1" 404 376 "-" "Go-http-client/1.1"
207.154.197.113 - - [12/Mar/2024:10:06:49 +0100] "GET /config.json HTTP/1.1" 404 376 "-" "Go-http-client/1.1"
207.154.197.113 - - [12/Mar/2024:10:06:49 +0100] "GET /telescope/requests HTTP/1.1" 404 376 "-" "Go-http-client/1.1"
207.154.197.113 - - [12/Mar/2024:10:06:49 +0100] "GET /?rest_route=/wp/v2/users/ HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
52.59.209.238 - - [12/Mar/2024:10:08:13 +0100] "GET / HTTP/1.1" 200 3423 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.2 Mobile/15E148 Safari/604.1"
146.70.92.62 - - [12/Mar/2024:10:08:14 +0100] "GET / HTTP/1.1" 200 3423 "-" "Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Raspbian Chromium/74.0.3729.157 Chrome/74.0.3729.157 Safari/537.36"
52.59.209.238 - - [12/Mar/2024:10:08:14 +0100] "GET /icons/ubuntu-logo.png HTTP/1.1" 200 3571 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.2 Mobile/15E148 Safari/604.1"
198.12.64.44 - - [12/Mar/2024:10:08:14 +0100] "GET / HTTP/1.1" 200 3423 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Mobile/15E148 Safari/604.1"
146.70.92.62 - - [12/Mar/2024:10:08:14 +0100] "GET /icons/ubuntu-logo.png HTTP/1.1" 200 3571 "-" "Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Raspbian Chromium/74.0.3729.157 Chrome/74.0.3729.157 Safari/537.36"
198.12.64.44 - - [12/Mar/2024:10:08:15 +0100] "GET /icons/ubuntu-logo.png HTTP/1.1" 200 3571 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Mobile/15E148 Safari/604.1"
185.17.107.85 - - [12/Mar/2024:10:08:17 +0100] "GET / HTTP/1.1" 200 3423 "-" "Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Raspbian Chromium/74.0.3729.157 Chrome/74.0.3729.157 Safari/537.36"
92.8.158.28 - - [12/Mar/2024:10:08:26 +0100] "GET / HTTP/1.1" 200 3460 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.2 Mobile/15E148 Safari/604.1"
92.8.158.28 - - [12/Mar/2024:10:08:28 +0100] "GET /icons/ubuntu-logo.png HTTP/1.1" 200 3607 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.2 Mobile/15E148 Safari/604.1"
34.16.55.111 - - [12/Mar/2024:10:09:04 +0100] "GET / HTTP/1.1" 200 3460 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36"
198.12.64.44 - - [12/Mar/2024:10:09:09 +0100] "GET /favicon.ico HTTP/1.1" 404 376 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.1 Mobile/15E148 Safari/604.1"
65.155.30.101 - - [12/Mar/2024:10:09:29 +0100] "GET / HTTP/1.1" 200 3460 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36"
65.155.30.101 - - [12/Mar/2024:10:09:29 +0100] "GET /icons/ubuntu-logo.png HTTP/1.1" 200 3607 "http://cs-24-sw-2-06.p2datsw.cs.aau.dk/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36"
45.135.95.6 - - [13/Mar/2024:02:35:46 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [13/Mar/2024:02:35:56 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [13/Mar/2024:02:35:58 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [13/Mar/2024:02:36:00 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [13/Mar/2024:02:36:20 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
45.135.95.6 - - [13/Mar/2024:02:36:20 +0100] "GET / HTTP/1.1" 200 3423 "-" "Go-http-client/1.1"
167.88.61.92 - - [13/Mar/2024:12:09:49 +0100] "GET /wp-admin/setup-config.php?step=1 HTTP/1.1" 404 376 "-" "Apache/2.4.34 (Ubuntu) OpenSSL/1.1.1 (internal dummy connection)"
167.88.61.92 - - [13/Mar/2024:12:09:51 +0100] "GET /wordpress/wp-admin/setup-config.php?step=1 HTTP/1.1" 404 376 "-" "Apache/2.4.34 (Ubuntu) OpenSSL/1.1.1 (internal dummy connection)"
167.88.61.92 - - [13/Mar/2024:12:09:52 +0100] "GET /blog/wp-admin/setup-config.php?step=1 HTTP/1.1" 404 376 "-" "Apache/2.4.34 (Ubuntu) OpenSSL/1.1.1 (internal dummy connection)"
167.88.61.92 - - [13/Mar/2024:12:09:52 +0100] "GET /site/wp-admin/setup-config.php?step=1 HTTP/1.1" 404 376 "-" "Apache/2.4.34 (Ubuntu) OpenSSL/1.1.1 (internal dummy connection)"
